N_Ser,N_Par,Irradiation,Temperature,Current,Voltage,Label
9,10,210,65,11.15276002,298.08,2
9,10,210,75,11.16368002,280.71,2
9,10,210,85,11.16575852,263.4380299,2
9,10,310,5,16.17257492,409.08,2
9,10,310,15,16.24076076,391.5,2
9,10,310,25,16.30273701,373.98,2
9,10,310,35,16.35874588,356.5040269,2
9,10,310,45,16.40750496,339.09,2
9,10,310,55,16.44781031,321.75,2
9,10,310,65,16.47805458,304.5,2
9,10,310,75,16.49726826,287.34,2
9,10,310,85,16.50388723,270.2780807,2
9,10,410,5,21.3897325,412.38,2
9,10,410,15,21.48110201,394.95,2
9,10,410,25,21.56442494,377.58,2
9,10,410,35,21.63907594,360.27,2
9,10,410,45,21.70437418,343.02,2
9,10,410,55,21.75958139,325.83,2
9,10,410,65,21.80389961,308.7,2
9,10,410,75,21.83198538,291.69,2
9,10,410,85,21.8444827,274.77,2
9,10,510,5,26.60574103,414.63,2
9,10,510,15,26.72018264,397.32,2
9,10,510,25,26.8247461,380.07,2
9,10,510,35,26.91867424,362.88,2
9,10,510,45,27.00114345,345.75,2
9,10,510,55,27.07126167,328.68,2
9,10,510,65,27.12545706,311.7,2
9,10,510,75,27.16224098,294.81,2
9,10,510,85,27.17997413,278.01,2
9,10,610,5,31.81957109,416.22,2
9,10,610,15,31.95529894,399.03,2
9,10,610,25,32.08167863,381.87,2
9,10,610,35,32.19553829,364.77,2
9,10,610,45,32.29313896,347.76,2
9,10,610,55,32.3788719,330.78,2
9,10,610,65,32.44587855,313.89,2
9,10,610,75,32.49243658,297.09,2
9,10,610,85,32.51317445,280.41,2
9,10,710,5,37.03023994,417.36,2
9,10,710,15,37.19074325,400.23,2
9,10,710,25,37.33482454,383.19,2
9,10,710,35,37.46717449,366.18,2
9,10,710,45,37.58562882,349.2140269,2
9,10,710,55,37.68384805,332.34,2
9,10,710,65,37.76212904,315.54,2
9,10,710,75,37.81678201,298.83,2
9,10,710,85,37.84162155,282.24,2
9,10,810,5,42.24044007,418.14,2
9,10,810,15,42.42194638,401.1,2
9,10,810,25,42.58797127,384.12,2
9,10,810,35,42.73922066,367.1840269,2
9,10,810,45,42.87253905,350.31,2
9,10,810,55,42.98500815,333.51,2
9,10,810,65,43.07273673,316.8,2
9,10,810,75,43.13348782,300.18,2
9,10,810,85,43.1648109,283.65,2
9,10,910,5,47.44622131,418.68,2
9,10,910,15,47.65059635,401.7,2
9,10,910,25,47.83770625,384.78,2
9,10,910,35,48.00628156,367.92,2
9,10,910,45,48.15302467,351.1340269,2
9,10,910,55,48.27789604,334.41,2
9,10,910,65,48.3774004,317.76,2
9,10,910,75,48.45171501,301.17,2
9,10,910,85,48.48367462,284.73,2
9,10,1010,5,52.64983313,419.01,2
9,10,1010,15,52.87615429,402.09,2
9,10,1010,25,53.08335442,385.23,2
9,10,1010,35,53.27004099,368.43,2
9,10,1010,45,53.43257811,351.7040269,2
9,10,1010,55,53.5709444,335.04,2
9,10,1010,65,53.68129566,318.45,2
9,10,1010,75,53.75852061,301.95,2
9,10,1010,85,53.79968964,285.54,2
9,10,1110,5,57.85261158,419.16,2
9,10,1110,15,58.09993072,402.3,2
9,10,1110,25,58.32619952,385.5,2
9,10,1110,35,58.5298949,368.76,2
9,10,1110,45,58.70703454,352.0940269,2
9,10,1110,55,58.85760842,335.49,2
9,10,1110,65,58.97741525,318.96,2
9,10,1110,75,59.06087142,302.52,2
9,10,1110,85,59.10479683,286.17,2
9,10,10,5,0.5782369203,342.4436708,3
9,10,10,15,0.5800443277,324.57,3
9,10,10,25,0.5814947961,306.6142929,3
9,10,10,35,0.582595197,288.57,3
9,10,10,45,0.5832181842,270.4969359,3
9,10,10,55,0.5832868549,252.42,3
9,10,10,65,0.5827487502,234.3478997,3
